totim,api,chd,drn,in-out,percent-discrepancy,sto-ss,sto-sy,total,wel
901.0,204.7932,0.0,-3.0933e-07,7.7236e-10,0.0,-0.0003642002,0.0004005432,0.0,-204.7932
911.0,204.7119,0.0,-1.9929e-07,5.5223e-11,0.0,-0.00035879947,0.0004005432,0.0,-204.7119
921.0,204.6322,0.0,-0.0065643,2.0047e-09,0.0,-0.0003502001,0.0068998337,0.0,-204.6322
931.0,204.554,0.0,-0.0083873,2.0218e-09,0.0,-0.00034359982,0.008700371,0.0,-204.554
941.0,204.4771,0.0,-0.0098601,2.0209e-09,0.0,-0.0003378,0.0102005005,0.0,-204.4771
951.0,204.4017,0.0,-0.011324,1.9841e-09,0.0,-0.00033219997,0.0116996765,0.0,-204.4017
961.0,204.3277,0.0,-0.012782,2.0004e-09,0.0,-0.0003268998,0.01309967,0.0,-204.3277
971.0,204.2549,0.0,-0.014235,1.9704e-09,0.0,-0.00032160012,0.0145998,0.0,-204.2549
981.0,204.1834,0.0,-0.015685,1.9913e-09,0.0,-0.00031649973,0.015999794,0.0,-204.1834
991.0,204.1132,0.0,-0.017131,1.9618e-09,0.0,-0.00031159958,0.017400742,0.0,-204.1132
1001.0,204.0441,0.0,-0.018575,1.9539e-09,0.0,-0.0003068,0.018899918,0.0,-204.0441
